============================================================
  WATER NETWORK DEMAND SETUP: 2026-07-08 12:44:37.854844
============================================================
Config: avg_demand=0.003, dist=lognormal, mode=random, preserve_patterns=True

JUNCTION_ID          | BASE_DEMAND  | PATTERN_NAME   
------------------------------------------------------------
[MODE: PRESERVE DEMAND PATTERNS]

Junction_1534        | 0.0000       | PASS_THROUGH   
Junction_1535        | 0.0000       | PASS_THROUGH   
Junction_1536        | 0.0000       | PASS_THROUGH   
Junction_1537        | 0.0000       | PASS_THROUGH   
Junction_1538        | 0.0000       | PASS_THROUGH   
Junction_1539        | 0.0000       | Utenze_CSA     
Junction_1540        | 0.0000       | 6              
Junction_1541        | 0.0000       | 1              
Junction_1542        | 0.0000       | PASS_THROUGH   
Junction_1543        | 0.0000       | PASS_THROUGH   
Junction_1544        | 0.0000       | PASS_THROUGH   
Junction_1545        | 0.0000       | PASS_THROUGH   
Junction_1546        | 0.0000       | 8              
Junction_1547        | 0.0000       | PASS_THROUGH   
Junction_1548        | 0.0000       | Utenze_CSA     
Junction_1549        | 0.0000       | PASS_THROUGH   
Junction_1550        | 0.0000       | PASS_THROUGH   
Junction_1551        | 0.0000       | PASS_THROUGH   
Junction_1552        | 0.0000       | 1              
Junction_1553        | 0.0000       | PASS_THROUGH   
Junction_1554        | 0.0000       | PASS_THROUGH   
Junction_1555        | 0.0000       | PASS_THROUGH   
Junction_1556        | 0.0000       | PASS_THROUGH   
Junction_1557        | 0.0000       | Utenze_CSA     
Junction_1558        | 0.0000       | PASS_THROUGH   
Junction_1559        | 0.0000       | PASS_THROUGH   
Junction_1560        | 0.0000       | PASS_THROUGH   
Junction_1561        | 0.0000       | PASS_THROUGH   
Junction_1562        | 0.0000       | PASS_THROUGH   
Junction_1563        | 0.0000       | PASS_THROUGH   
Junction_1564        | 0.0000       | PASS_THROUGH   
Junction_1565        | 0.0000       | PASS_THROUGH   
Junction_1566        | 0.0000       | 1              
Junction_1567        | 0.0000       | PASS_THROUGH   
Junction_1568        | 0.0000       | PASS_THROUGH   
Junction_1569        | 0.0000       | PASS_THROUGH   
Junction_1570        | 0.0000       | PASS_THROUGH   
Junction_1571        | 0.0000       | PASS_THROUGH   
Junction_1572        | 0.0000       | PASS_THROUGH   
Junction_1573        | 0.0000       | PASS_THROUGH   
Junction_1574        | 0.0000       | PASS_THROUGH   
Junction_1575        | 0.0000       | PASS_THROUGH   
Junction_1576        | 0.0000       | PASS_THROUGH   
Junction_1577        | 0.0000       | PASS_THROUGH   
Junction_1578        | 0.0000       | Utenze_CSA     
Junction_1579        | 0.0000       | 1              
Junction_1580        | 0.0000       | PASS_THROUGH   
Junction_1581        | 0.0000       | PASS_THROUGH   
Junction_1582        | 0.0000       | PASS_THROUGH   
Junction_1583        | 0.0000       | PASS_THROUGH   
Junction_1584        | 0.0000       | PASS_THROUGH   
Junction_1585        | 0.0000       | PASS_THROUGH   
Junction_1586        | 0.0000       | PASS_THROUGH   
Junction_1587        | 0.0000       | 8              
Junction_1588        | 0.0000       | PASS_THROUGH   
Junction_1589        | 0.0000       | 1              
Junction_1590        | 0.0000       | PASS_THROUGH   
Junction_1591        | 0.0000       | PASS_THROUGH   
Junction_1592        | 0.0000       | PASS_THROUGH   
Junction_1593        | 0.0000       | PASS_THROUGH   
Junction_1594        | 0.0000       | Utenze_CSA     
Junction_1595        | 0.0000       | PASS_THROUGH   
Junction_1596        | 0.0000       | PASS_THROUGH   
Junction_1597        | 0.0000       | PASS_THROUGH   
Junction_1598        | 0.0000       | PASS_THROUGH   
Junction_1599        | 0.0000       | 1              
Junction_1600        | 0.0000       | PASS_THROUGH   
Junction_1601        | 0.0000       | PASS_THROUGH   
Junction_1602        | 0.0000       | PASS_THROUGH   
Junction_1603        | 0.0000       | PASS_THROUGH   
Junction_1604        | 0.0000       | PASS_THROUGH   
Junction_1605        | 0.0000       | PASS_THROUGH   
Junction_1946        | 0.0000       | PASS_THROUGH   
Junction_1947        | 0.0000       | PASS_THROUGH   
Junction_1948        | 0.0000       | PASS_THROUGH   
Junction_1949        | 0.0000       | Utenze_CSA     
Junction_1950        | 0.0000       | PASS_THROUGH   
Junction_1974        | 0.0000       | 1              
Junction_1975        | 0.0000       | PASS_THROUGH   
Junction_1976        | 0.0000       | PASS_THROUGH   
Junction_1977        | 0.0000       | PASS_THROUGH   
Junction_1978        | 0.0000       | PASS_THROUGH   
Junction_1979        | 0.0000       | PASS_THROUGH   
Junction_1980        | 0.0000       | PASS_THROUGH   
Junction_1981        | 0.0000       | Utenze_CSA     
Junction_1982        | 0.0000       | PASS_THROUGH   
Junction_2091        | 0.0000       | PASS_THROUGH   
Junction_2092        | 0.0000       | 1              
Junction_2093        | 0.0000       | PASS_THROUGH   
Junction_2094        | 0.0000       | PASS_THROUGH   
Junction_2095        | 0.0000       | PASS_THROUGH   
Junction_2096        | 0.0000       | PASS_THROUGH   
Junction_2097        | 0.0000       | PASS_THROUGH   
Junction_2098        | 0.0000       | PASS_THROUGH   
Junction_2099        | 0.0000       | Utenze_CSA     
Junction_2100        | 0.0000       | 6              
Junction_2101        | 0.0000       | PASS_THROUGH   
Junction_2102        | 0.0000       | PASS_THROUGH   
Junction_2103        | 0.0000       | PASS_THROUGH   
Junction_2104        | 0.0000       | PASS_THROUGH   
Junction_2105        | 0.0000       | PASS_THROUGH   
Junction_2106        | 0.0000       | PASS_THROUGH   
Junction_2107        | 0.0000       | PASS_THROUGH   
Junction_2108        | 0.0000       | Utenze_CSA     
Junction_2109        | 0.0000       | 1              
Junction_2112        | 0.0000       | Utenze_CSA     
Junction_2137        | 0.0000       | PASS_THROUGH   
Junction_2331        | 0.0000       | PASS_THROUGH   
Junction_2332        | 0.0000       | Utenze_CSA     
Junction_2333        | 0.0000       | PASS_THROUGH   
Junction_2334        | 0.0000       | 1              
Junction_2335        | 0.0000       | Utenze_CSA     
Junction_2336        | 0.0000       | PASS_THROUGH   
Junction_2337        | 0.0000       | PASS_THROUGH   
Junction_2338        | 0.0000       | PASS_THROUGH   
Junction_2339        | 0.0000       | PASS_THROUGH   
Junction_2340        | 0.0000       | PASS_THROUGH   
Junction_2341        | 0.0000       | 1              
Junction_2342        | 0.0000       | Utenze_CSA     
Junction_2343        | 0.0000       | PASS_THROUGH   
Junction_2344        | 0.0000       | PASS_THROUGH   
Junction_2345        | 0.0000       | PASS_THROUGH   
Junction_2346        | 0.0000       | PASS_THROUGH   
Junction_2347        | 0.0000       | 1              
Junction_2348        | 0.0000       | PASS_THROUGH   
Junction_2349        | 0.0000       | PASS_THROUGH   
Junction_2350        | 0.0000       | 6              
Junction_2351        | 0.0000       | PASS_THROUGH   
Junction_2352        | 0.0000       | 1              
Junction_2353        | 0.0000       | Utenze_CSA     
Junction_2354        | 0.0000       | PASS_THROUGH   
Junction_2355        | 0.0000       | PASS_THROUGH   
Junction_2356        | 0.0000       | 1              
Junction_2357        | 0.0000       | PASS_THROUGH   
Junction_2358        | 0.0000       | Utenze_CSA     
